keyword,repo,file,url,raw_url
"extension:ipynb ""Harvard University"" in:file",nrmogh/physician_trajectories,code/deduplication_ai.ipynb,https://github.com/nrmogh/physician_trajectories/blob/20094d1a0e07059a584b612142d46eb98d9b356d/code/deduplication_ai.ipynb,https://raw.githubusercontent.com/nrmogh/physician_trajectories/20094d1a0e07059a584b612142d46eb98d9b356d/code/deduplication_ai.ipynb
"extension:ipynb ""Harvard University"" in:file",olamarujo/le_wagon-python,01- Class/06- Enrich Users Profiles/Enrich Users Profiles Challenge.ipynb,https://github.com/olamarujo/le_wagon-python/blob/feb86fe56bab5d029e03358232563ce88953d177/01-%20Class/06-%20Enrich%20Users%20Profiles/Enrich%20Users%20Profiles%20Challenge.ipynb,https://raw.githubusercontent.com/olamarujo/le_wagon-python/feb86fe56bab5d029e03358232563ce88953d177/01-%20Class/06-%20Enrich%20Users%20Profiles/Enrich%20Users%20Profiles%20Challenge.ipynb
"extension:ipynb ""Harvard University"" in:file",martinezjorge/Academic-Citation-Scrapers,ResearchGate/Research Gate Web Scraper.ipynb,https://github.com/martinezjorge/Academic-Citation-Scrapers/blob/17fa4bcd8485bec6af7c230f7a72fe8fd57255b2/ResearchGate/Research%20Gate%20Web%20Scraper.ipynb,https://raw.githubusercontent.com/martinezjorge/Academic-Citation-Scrapers/17fa4bcd8485bec6af7c230f7a72fe8fd57255b2/ResearchGate/Research%20Gate%20Web%20Scraper.ipynb
"extension:ipynb ""Harvard University"" in:file",Helios109/Verylimitedtoystore,3_Enrich_users_profiles_Challenge.ipynb,https://github.com/Helios109/Verylimitedtoystore/blob/829ccb1a2b79ac7c54498e1fcc25cda65774e2e6/3_Enrich_users_profiles_Challenge.ipynb,https://raw.githubusercontent.com/Helios109/Verylimitedtoystore/829ccb1a2b79ac7c54498e1fcc25cda65774e2e6/3_Enrich_users_profiles_Challenge.ipynb
"extension:csv ""Harvard University"" in:file",hantang/latex-templates,data/thesis.csv,https://github.com/hantang/latex-templates/blob/0865da0395d9f1c4c62c5f9755fb2273492bc065/data/thesis.csv,https://raw.githubusercontent.com/hantang/latex-templates/0865da0395d9f1c4c62c5f9755fb2273492bc065/data/thesis.csv
"extension:csv ""Harvard University"" in:file",stopstalk/stopstalk-deployment,private/extras/institute_to_country.csv,https://github.com/stopstalk/stopstalk-deployment/blob/ea34ec2d95b2755f79af163ee354e3e54c285cb9/private/extras/institute_to_country.csv,https://raw.githubusercontent.com/stopstalk/stopstalk-deployment/ea34ec2d95b2755f79af163ee354e3e54c285cb9/private/extras/institute_to_country.csv
"extension:csv ""Harvard University"" in:file",pemiluAPI/pemilu-data,dpr.go.id/old-data/pekerjaan-dpr.csv,https://github.com/pemiluAPI/pemilu-data/blob/c40bfc5248a328e5e623e7888c3f09dd6c274048/dpr.go.id/old-data/pekerjaan-dpr.csv,https://raw.githubusercontent.com/pemiluAPI/pemilu-data/c40bfc5248a328e5e623e7888c3f09dd6c274048/dpr.go.id/old-data/pekerjaan-dpr.csv
"extension:csv ""Harvard University"" in:file",ramaprakoso/analisis-sentimen,data/ahok.csv,https://github.com/ramaprakoso/analisis-sentimen/blob/4b0e3da96695a0cf548c21fd206c91ac060a599f/data/ahok.csv,https://raw.githubusercontent.com/ramaprakoso/analisis-sentimen/4b0e3da96695a0cf548c21fd206c91ac060a599f/data/ahok.csv
"extension:csv ""Harvard University"" in:file",jsoma/fuzzy_pandas,examples/data/davos-attendees-2019.csv,https://github.com/jsoma/fuzzy_pandas/blob/35c016859bd24b816ca28b39ae520751bd2ec6bd/examples/data/davos-attendees-2019.csv,https://raw.githubusercontent.com/jsoma/fuzzy_pandas/35c016859bd24b816ca28b39ae520751bd2ec6bd/examples/data/davos-attendees-2019.csv
"extension:csv ""Harvard University"" in:file",csmetrics/csmetrics.net,app/data/old_inst_data/inst_alias.csv,https://github.com/csmetrics/csmetrics.net/blob/846fd03fb7d893e017bd71d3dc781aa39bc2641f/app/data/old_inst_data/inst_alias.csv,https://raw.githubusercontent.com/csmetrics/csmetrics.net/846fd03fb7d893e017bd71d3dc781aa39bc2641f/app/data/old_inst_data/inst_alias.csv
